dataset;query_id;query_type;strategy;k_eval;hit_at_k;mrr;chain_mrr;ndcg_at_k;relevant_rank;chain_rank;latency_clean_ms;latency_penalty_ms;latency_end_to_end_ms;diversity_docs;diversity_sections;retrieved_ids;index_id;chunk_size;chunk_overlap;relevance_method;similarity_top_k_dense;similarity_top_k_sparse;rrf_top_k_per_retriever;mmr_alpha;k_final;embed_model;llama_index_version
local_saia_docs;abroad_forms;keyword;hybrid_rrf;8;1;1.0;1.0;1.0;1;1;2184;200;2385;0.375;0.25;"[""C:\\Users\\cora-\\Development\\RAG\\data\\raw\\Prüfungs_und_Studienordnung_BA_Ang.Informatik.pdf"", ""C:\\Users\\cora-\\Development\\RAG\\data\\raw\\Prüfungs_und_Studienordnung_MA_Ang.Informatik.pdf"", ""C:\\Users\\cora-\\Development\\RAG\\data\\raw\\Allgemeine_Prüfungsordnung.pdf""]";abae512774cc;500;150;exact_normalized_substring;50;50;40;0.6;8;e5-mistral-7b-instruct;0.14.7
local_saia_docs;aptitude_test;keyword;hybrid_rrf;8;1;1.0;1.0;1.0;1;1;903;201;1105;0.125;0.125;"[""C:\\Users\\cora-\\Development\\RAG\\data\\raw\\Ordnung_Zugangsvoraussetzungen_MA_Ang.Informatik.pdf""]";abae512774cc;500;150;exact_normalized_substring;50;50;40;0.6;8;e5-mistral-7b-instruct;0.14.7
local_saia_docs;bio_bachelor_thesis_requirements;keyword;hybrid_rrf;8;1;1.0;1.0;1.0;1;1;1002;200;1203;0.375;0.375;"[""C:\\Users\\cora-\\Development\\RAG\\data\\raw\\Prüfungs_und_Studienordnung_BA_Ang.Informatik.pdf"", ""C:\\Users\\cora-\\Development\\RAG\\data\\raw\\Prüfungsordnung_Zwei_Faecher_Bachelor_Göttingen.pdf"", ""C:\\Users\\cora-\\Development\\RAG\\data\\raw\\Studienordnung_Biologie.pdf""]";abae512774cc;500;150;exact_normalized_substring;50;50;40;0.6;8;e5-mistral-7b-instruct;0.14.7
local_saia_docs;bio_orientation_modules_rule;keyword;hybrid_rrf;8;1;0.5;0.5;0.6309297535714575;2;2;925;201;1126;0.125;0.0;"[""C:\\Users\\cora-\\Development\\RAG\\data\\raw\\Studienordnung_Biologie.pdf""]";abae512774cc;500;150;exact_normalized_substring;50;50;40;0.6;8;e5-mistral-7b-instruct;0.14.7
local_saia_docs;physik_orientation_modules;keyword;hybrid_rrf;8;1;1.0;1.0;1.0;1;1;924;200;1125;0.25;0.25;"[""C:\\Users\\cora-\\Development\\RAG\\data\\raw\\Prüfungsordnung_Physik.pdf"", ""C:\\Users\\cora-\\Development\\RAG\\data\\raw\\Studienordnung_Physik_Göttingen.pdf""]";abae512774cc;500;150;exact_normalized_substring;50;50;40;0.6;8;e5-mistral-7b-instruct;0.14.7
local_saia_docs;submission_deadline_definition;keyword;hybrid_rrf;8;1;1.0;1.0;0.961999147059583;1;1;1022;200;1223;0.125;0.375;"[""C:\\Users\\cora-\\Development\\RAG\\data\\raw\\Allgemeine Zulassungsordnung.pdf""]";abae512774cc;500;150;exact_normalized_substring;50;50;40;0.6;8;e5-mistral-7b-instruct;0.14.7
local_saia_docs;bio_exam_registration_type;keyword;hybrid_rrf;8;1;1.0;1.0;1.0;1;1;998;200;1198;0.125;0.125;"[""C:\\Users\\cora-\\Development\\RAG\\data\\raw\\Studienordnung_Biologie.pdf""]";abae512774cc;500;150;exact_normalized_substring;50;50;40;0.6;8;e5-mistral-7b-instruct;0.14.7
local_saia_docs;physik_grade_improvement;keyword;hybrid_rrf;8;1;1.0;1.0;0.9197207891481876;1;1;1050;200;1250;0.5;0.0;"[""C:\\Users\\cora-\\Development\\RAG\\data\\raw\\Prüfungs_und_Studienordnung_BA_Ang.Informatik.pdf"", ""C:\\Users\\cora-\\Development\\RAG\\data\\raw\\Prüfungsordnung_Physik.pdf"", ""C:\\Users\\cora-\\Development\\RAG\\data\\raw\\Allgemeine_Prüfungsordnung.pdf"", ""C:\\Users\\cora-\\Development\\RAG\\data\\raw\\Prüfungsordnung_Zwei_Faecher_Bachelor_Göttingen.pdf""]";abae512774cc;500;150;exact_normalized_substring;50;50;40;0.6;8;e5-mistral-7b-instruct;0.14.7
local_saia_docs;lehramt_profile_credits;keyword;hybrid_rrf;8;1;1.0;1.0;0.9197207891481876;1;1;1047;201;1249;0.25;0.0;"[""C:\\Users\\cora-\\Development\\RAG\\data\\raw\\Studienordnung_Professionalisierungsbereich_Lehramt.pdf"", ""C:\\Users\\cora-\\Development\\RAG\\data\\raw\\Prüfungsordnung_Professionalisierungsbereich_Lehramt.pdf""]";abae512774cc;500;150;exact_normalized_substring;50;50;40;0.6;8;e5-mistral-7b-instruct;0.14.7
local_saia_docs;paper_application;semantic;hybrid_rrf;8;1;1.0;1.0;1.0;1;1;1063;200;1264;0.375;0.25;"[""C:\\Users\\cora-\\Development\\RAG\\data\\raw\\Ordnung_Zugangsvoraussetzungen_MA_Ang.Informatik.pdf"", ""C:\\Users\\cora-\\Development\\RAG\\data\\raw\\Allgemeine_Prüfungsordnung.pdf"", ""C:\\Users\\cora-\\Development\\RAG\\data\\raw\\Allgemeine Zulassungsordnung.pdf""]";abae512774cc;500;150;exact_normalized_substring;50;50;40;0.6;8;e5-mistral-7b-instruct;0.14.7
local_saia_docs;second_degree;semantic;hybrid_rrf;8;1;0.5;0.5;0.6309297535714575;2;2;1001;200;1201;0.375;0.125;"[""C:\\Users\\cora-\\Development\\RAG\\data\\raw\\Allgemeine_Prüfungsordnung.pdf"", ""C:\\Users\\cora-\\Development\\RAG\\data\\raw\\Prüfungsordnung_Zwei_Faecher_Bachelor_Göttingen.pdf"", ""C:\\Users\\cora-\\Development\\RAG\\data\\raw\\Allgemeine Zulassungsordnung.pdf""]";abae512774cc;500;150;exact_normalized_substring;50;50;40;0.6;8;e5-mistral-7b-instruct;0.14.7
